School,Grade,Class,Number,Last name,First name,Fist name(KANA),Last name(KANA),Sex,Date of birth,Guardian,Relationship,Father name,Mother name,Sibling1 name,Sibling1 date of birth,Sibling2 name,Sibling2 date of birth,Sibling3 name,Sibling3 date of birth,Firstborn,District,Zip code,Address,Way of commuting (out bound),Bus course (out bound),Bus station (out bound),Train station (out bound),Way of commuting (in bound),Bus course (in bound),Bus station (in bound),Train station (in bound),Commuting time,Telephone(home),FAX(home),E-mail1,E-mail2,Mobile(father),Work place(father),Work phone(father),Mobile(mother),Work place(mother),Work phone(mother),EmergencyContact1,EmergencyContact2,EmergencyContact3,Lesson1,Lesson2,Lesson3,Award,Mobile flag,Mobile number,Allergy,School lunch,Milk,Entrance date,Alma mater,Remarks
小学校,1,2,4,2013小,1年2組4番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,5,2013小,1年2組5番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,6,2013小,1年2組6番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,7,2013小,1年2組7番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,8,2013小,1年2組8番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,9,2013小,1年2組9番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,2,10,2013小,1年2組10番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,1,2013小,1年3組1番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,2,2013小,1年3組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,3,2013小,1年3組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,4,2013小,1年3組4番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,5,2013小,1年3組5番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,6,2013小,1年3組6番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,7,2013小,1年3組7番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,8,2013小,1年3組8番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,9,2013小,1年3組9番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,10,2013小,1年3組10番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,1,3,11,2013小,1年3組11番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,1,2013小,2年1組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,2,2013小,2年1組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,3,2013小,2年1組3番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,4,2013小,2年1組4番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,5,2013小,2年1組5番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,6,2013小,2年1組6番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,7,2013小,2年1組7番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,8,2013小,2年1組8番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,9,2013小,2年1組9番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,10,2013小,2年1組10番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,1,11,2013小,2年1組11番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,1,2013小,2年2組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,2,2013小,2年2組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,3,2013小,2年2組3番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,4,2013小,2年2組4番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,5,2013小,2年2組5番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,2,2,6,2013小,2年2組6番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,1,2013小,3年1組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,2,2013小,3年1組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,3,2013小,3年1組3番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,4,2013小,3年1組4番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,5,2013小,3年1組5番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,6,2013小,3年1組6番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,7,2013小,3年1組7番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,1,8,2013小,3年1組8番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,2,1,2013小,3年2組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,2,2,2013小,3年2組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,3,3,1,2013小,3年3組1番,,,男,,,母,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,1,1,2013小,4年1組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,1,2,2013小,4年1組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,2,1,2013小,4年2組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,2,2,2013小,4年2組2番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,3,1,2013小,4年3組1番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,4,3,2,2013小,4年3組2番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,5,1,1,2013小,5年1組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,5,2,1,2013小,5年2組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,5,3,1,2013小,5年3組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,1,2013小,6年1組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,2,2013小,6年1組2番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,3,2013小,6年1組3番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,4,2013小,6年1組4番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,5,2013小,6年1組5番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,6,2013小,6年1組6番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,7,2013小,6年1組7番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,1,8,2013小,6年1組8番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,1,2013小,6年2組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,2,2013小,6年2組2番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,3,2013小,6年2組3番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,4,2013小,6年2組4番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,5,2013小,6年2組5番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,2,6,2013小,6年2組6番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,1,2013小,6年3組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,2,2013小,6年3組2番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,3,2013小,6年3組3番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,4,2013小,6年3組4番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,5,2013小,6年3組5番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,6,2013小,6年3組6番,,,男,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
小学校,6,3,7,2013小,6年3組7番,,,女,,,父,,,,,,,,,,地区名称２,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,A,1,2013中,1年A組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,A,2,2013中,1年A組2番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,A,3,2013中,1年A組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,1,2013中,1年B組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,2,2013中,1年B組2番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,3,2013中,1年B組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,4,2013中,1年B組4番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,5,2013中,1年B組5番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,6,2013中,1年B組6番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,7,2013中,1年B組7番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,8,2013中,1年B組8番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,9,2013中,1年B組9番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,10,2013中,1年B組10番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,11,2013中,1年B組11番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,12,2013中,1年B組12番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,13,2013中,1年B組13番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,14,2013中,1年B組14番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,15,2013中,1年B組15番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,16,2013中,1年B組16番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,17,2013中,1年B組17番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,18,2013中,1年B組18番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,19,2013中,1年B組19番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,B,20,2013中,1年B組20番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,1,中2013,1C1,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,2,中2013,1C2,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,3,中2013,1C3,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,4,中2013,1C4,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,5,中2013,1C5,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,6,中2013,1C6,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,7,中2013,1C7,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,8,中2013,1C8,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,9,中2013,1C9,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,10,中2013,1C10,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,11,中2013,1C11,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
